2026-08-09 02:11:30,852 | INFO | __main__ | --- Processing Input Query: 'What is 2 + 2?' ---
2026-08-09 02:11:30,967 | INFO | nemoguardrails.actions.action_dispatcher | Initializing action dispatcher
2026-08-09 02:11:30,971 | INFO | nemoguardrails.actions.action_dispatcher | Added create_event to actions
2026-08-09 02:11:30,972 | INFO | nemoguardrails.actions.action_dispatcher | Added wolfram alpha request to actions
2026-08-09 02:11:30,974 | INFO | nemoguardrails.actions.action_dispatcher | Added retrieve_relevant_chunks to actions
2026-08-09 02:11:30,984 | INFO | nemoguardrails.actions.action_dispatcher | Added call_activefence_api to actions
2026-08-09 02:11:30,986 | INFO | nemoguardrails.actions.action_dispatcher | Added ai_defense_inspect to actions
2026-08-09 02:11:30,987 | INFO | nemoguardrails.actions.action_dispatcher | Added GetAttentionPercentageAction to actions
2026-08-09 02:11:30,988 | INFO | nemoguardrails.actions.action_dispatcher | Added UpdateAttentionMaterializedViewAction to actions
2026-08-09 02:11:30,990 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_factcheck_output_api to actions
2026-08-09 02:11:30,990 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_groundedness_output_api to actions
2026-08-09 02:11:30,990 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_input_api to actions
2026-08-09 02:11:30,991 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_output_api to actions
2026-08-09 02:11:31,001 | INFO | nemoguardrails.actions.action_dispatcher | Added ClavataCheckAction to actions
2026-08-09 02:11:31,003 | INFO | nemoguardrails.actions.action_dispatcher | Added call cleanlab api to actions
2026-08-09 02:11:31,004 | INFO | nemoguardrails.actions.action_dispatcher | Added content_safety_check_input to actions
2026-08-09 02:11:31,004 | INFO | nemoguardrails.actions.action_dispatcher | Added content_safety_check_output to actions
2026-08-09 02:11:31,005 | INFO | nemoguardrails.actions.action_dispatcher | Added detect_language to actions
2026-08-09 02:11:31,007 | INFO | nemoguardrails.actions.action_dispatcher | Added context_bloat_detection to actions
2026-08-09 02:11:31,011 | INFO | nemoguardrails.actions.action_dispatcher | Added crowdstrike_aidr_guard to actions
2026-08-09 02:11:31,019 | INFO | nemoguardrails.actions.action_dispatcher | Added alignscore_check_facts to actions
2026-08-09 02:11:31,019 | INFO | nemoguardrails.actions.action_dispatcher | Added alignscore request to actions
2026-08-09 02:11:31,019 | INFO | nemoguardrails.actions.action_dispatcher | Added self_check_facts to actions
2026-08-09 02:11:31,021 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler faithfulness to actions
2026-08-09 02:11:31,021 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler safety on bot message to actions
2026-08-09 02:11:31,021 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler safety on user message to actions
2026-08-09 02:11:31,023 | INFO | nemoguardrails.actions.action_dispatcher | Added call gcpnlp api to actions
