2026-08-02 18:43:50,148 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:43:50,149 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:43:50,149 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:43:50,149 | INFO | __main__ | Loading environment variables from .env file
2026-08-02 18:43:50,152 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:43:50,152 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:43:50,153 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:43:50,153 | INFO | __main__ | Initializing Logfire configuration
2026-08-02 18:43:50,206 | INFO | __main__ | Logfire configuration completed successfully
2026-08-02 18:43:50,206 | INFO | __main__ | Instrumenting OpenAI client calls with Logfire
2026-08-02 18:43:50,305 | INFO | __main__ | Instantiating OpenAI client connecting to LiteLLM Proxy at: http://localhost:4000/v1
2026-08-02 18:43:50,607 | INFO | __main__ | OpenAI client instantiated successfully
2026-08-02 18:43:50,608 | INFO | __main__ | === Starting LiteLLM Semantic Inspector Pipeline ===
2026-08-02 18:43:50,608 | INFO | __main__ | --- Comparing DRY vs SOLID Principle Vector Distances ---
2026-08-02 18:43:50,608 | INFO | __main__ | Requesting embedding generation for prompt: 'What is DRY Principle?'
2026-08-02 18:43:57,188 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:43:57,287 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:43:57,300 | INFO | __main__ | Requesting embedding generation for prompt: 'What is SOLID Principle'
2026-08-02 18:43:57,604 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:43:57,609 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:43:57,615 | INFO | __main__ | Calculating cosine distance between two vectors
2026-08-02 18:43:57,619 | INFO | __main__ | Computed cosine distance: 0.3019
2026-08-02 18:43:57,620 | INFO | __main__ | Executing Query 1 (Expect Cache Miss)
2026-08-02 18:43:57,620 | INFO | __main__ | Executing query against semantic cache with prompt: 'What is Load balancer?'
2026-08-02 18:43:57,626 | INFO | __main__ | Requesting embedding generation for prompt: 'What is Load balancer?'
2026-08-02 18:43:57,859 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:43:57,863 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:43:57,869 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-02 18:43:59,257 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-02 18:43:59,274 | INFO | __main__ | Received chat completion response successfully
2026-08-02 18:43:59,275 | INFO | __main__ | Executing Query 2 (Expect Semantic Cache Hit)
2026-08-02 18:43:59,276 | INFO | __main__ | Executing query against semantic cache with prompt: 'Tell me about Load Balancer'
2026-08-02 18:43:59,277 | INFO | __main__ | Requesting embedding generation for prompt: 'Tell me about Load Balancer'
2026-08-02 18:43:59,562 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:43:59,568 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:43:59,574 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-02 18:43:59,882 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-02 18:43:59,885 | INFO | __main__ | Received chat completion response successfully
2026-08-02 18:43:59,885 | INFO | __main__ | === Pipeline Execution Complete ===
