2026-08-02 18:47:55,298 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:47:55,298 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:47:55,298 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:47:56,456 | INFO | __main__ | Loading environment variables from .env file
2026-08-02 18:47:56,460 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:47:56,460 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:47:56,461 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:47:56,461 | INFO | __main__ | Initializing Logfire configuration
2026-08-02 18:47:56,519 | INFO | __main__ | Logfire configuration completed successfully
2026-08-02 18:47:56,519 | INFO | __main__ | Instrumenting OpenAI client calls with Logfire
2026-08-02 18:47:56,623 | INFO | __main__ | Instantiating OpenAI client connecting to LiteLLM Proxy at: http://localhost:4000/v1
2026-08-02 18:47:56,964 | INFO | __main__ | OpenAI client instantiated successfully
2026-08-02 18:47:56,965 | INFO | __main__ | === Starting LiteLLM Semantic Inspector Pipeline ===
2026-08-02 18:47:56,965 | INFO | __main__ | --- Comparing DRY vs SOLID Principle Vector Distances ---
2026-08-02 18:47:57,072 | INFO | __main__ | Requesting embedding generation for prompt: 'What is DRY Principle?'
2026-08-02 18:47:57,976 | INFO | openai._base_client | Retrying request to /embeddings in 0.487843 seconds
2026-08-02 18:47:58,469 | INFO | openai._base_client | Retrying request to /embeddings in 0.864466 seconds
