2026-08-04 01:18:22,733 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-04 01:18:22,733 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-04 01:18:22,734 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-04 01:18:23,353 | INFO | __main__ | Loading environment variables from .env file
2026-08-04 01:18:23,356 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-04 01:18:23,356 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-04 01:18:23,357 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-04 01:18:23,357 | INFO | __main__ | Initializing Logfire configuration
2026-08-04 01:18:23,424 | INFO | __main__ | Logfire configuration completed successfully
2026-08-04 01:18:23,424 | INFO | __main__ | Instrumenting OpenAI client calls with Logfire
2026-08-04 01:18:23,602 | INFO | __main__ | Instantiating OpenAI client connecting to LiteLLM Proxy at: http://localhost:4000/v1
2026-08-04 01:18:24,023 | INFO | __main__ | OpenAI client instantiated successfully
2026-08-04 01:18:24,024 | INFO | __main__ | === Starting LiteLLM Semantic Inspector Pipeline ===
2026-08-04 01:18:24,024 | INFO | __main__ | --- Comparing DRY vs SOLID Principle Vector Distances ---
2026-08-04 01:18:24,537 | INFO | __main__ | Requesting embedding generation for prompt: 'What is DRY Principle?'
2026-08-04 01:18:35,193 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-04 01:18:45,410 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-04 01:18:45,428 | INFO | __main__ | Requesting embedding generation for prompt: 'What is SOLID Principle'
2026-08-04 01:18:45,753 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-04 01:18:45,762 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-04 01:18:45,774 | INFO | __main__ | Calculating cosine distance between two vectors
2026-08-04 01:18:45,777 | INFO | __main__ | Computed cosine distance: 0.3019
2026-08-04 01:18:45,779 | INFO | __main__ | Executing Query 1 (Expect Cache Miss)
2026-08-04 01:18:45,780 | INFO | __main__ | Executing query against semantic cache with prompt: 'What is Load balancer?'
2026-08-04 01:18:45,785 | INFO | __main__ | Requesting embedding generation for prompt: 'What is Load balancer?'
2026-08-04 01:18:46,075 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-04 01:18:46,083 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-04 01:18:46,091 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-04 01:18:56,354 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 01:18:56,373 | INFO | __main__ | Received chat completion response successfully
2026-08-04 01:18:56,381 | INFO | __main__ | Executing Query 2 (Expect Semantic Cache Hit)
2026-08-04 01:18:56,382 | INFO | __main__ | Executing query against semantic cache with prompt: 'Tell me about Load Balancer'
2026-08-04 01:18:56,387 | INFO | __main__ | Requesting embedding generation for prompt: 'Tell me about Load Balancer'
2026-08-04 01:18:56,719 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-04 01:18:56,724 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-04 01:18:56,734 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-04 01:18:57,077 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 01:18:57,080 | INFO | __main__ | Received chat completion response successfully
2026-08-04 01:18:57,083 | INFO | __main__ | === Pipeline Execution Complete ===
